fid,field_1,link,date,x,y,image_name,location,street
1,1,"https://www.google.com/maps/@51.5139941,-0.1043742,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sYrVptjPsJFHTC-Qay5BZjQ!2e0!7i16384!8i8192",515,51.5139941,-0.1043742,panorama-YrVptjPsJFHTC-Qay5BZjQ,London,A201
2,2,"https://www.google.com/maps/@51.513922,-0.1043577,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sM5pHkXRHIBMW0KAog-wOSA!2e0!7i16384!8i8192",515,51.513922,-0.1043577,panorama-M5pHkXRHIBMW0KAog-wOSA,London,A202
3,3,"https://www.google.com/maps/@51.5138389,-0.1043385,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1svtToLU5PLWSMqujnvenEhA!2e0!7i16384!8i8192",515,51.5138389,-0.1043385,panorama-vtToLU5PLWSMqujnvenEhA,London,A203
4,4,"https://www.google.com/maps/@51.5137528,-0.1043188,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1s3uU6OUYhw4Hz-amAVZk9ug!2e0!7i16384!8i8192",515,51.5137528,-0.1043188,panorama-3uU6OUYhw4Hz-amAVZk9ug,London,A204
5,5,"https://www.google.com/maps/@51.513673,-0.1042963,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1stdmBpLbc-rW38WVgZoKJhg!2e0!7i16384!8i8192",515,51.513673,-0.1042963,panorama-tdmBpLbc-rW38WVgZoKJhg,London,A205
6,6,"https://www.google.com/maps/@51.5135873,-0.1042655,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sAuMcy6Uo4TWp-twLBqSaSw!2e0!7i16384!8i8192",515,51.5135873,-0.1042655,panorama-AuMcy6Uo4TWp-twLBqSaSw,London,A206
7,7,"https://www.google.com/maps/@51.5134589,-0.1042278,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1s15eHMcCXCD6uoH189Y6yig!2e0!7i16384!8i8192",515,51.5134589,-0.1042278,panorama-15eHMcCXCD6uoH189Y6yig,London,A207
8,8,"https://www.google.com/maps/@51.513373,-0.1042146,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sVCtskBxAxnL5Aplhs7dogQ!2e0!7i16384!8i8192",515,51.513373,-0.1042146,panorama-VCtskBxAxnL5Aplhs7dogQ,London,A208
9,9,"https://www.google.com/maps/@51.5132868,-0.1042034,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sn1rGt81qmx9wORvbllBP9A!2e0!7i16384!8i8192",515,51.5132868,-0.1042034,panorama-n1rGt81qmx9wORvbllBP9A,London,A209
10,10,"https://www.google.com/maps/@51.5132,-0.1041955,3a,75y,178.32h,90.39t/data=!3m6!1e1!3m4!1sZh0-ivrQOJXV814tZCI0XA!2e0!7i16384!8i8192",515,51.5132,-0.1041955,panorama-Zh0-ivrQOJXV814tZCI0XA,London,A210
11,11,"https://www.google.com/maps/@51.5141004,-0.1044198,3a,75y,156.24h,88.46t/data=!3m6!1e1!3m4!1sZTCk6qVPhP5pxDdgJx2qZA!2e0!7i16384!8i8192?entry=ttu",613,51.5141004,-0.1044198,panorama-ZTCk6qVPhP5pxDdgJx2qZA,London,Fleet Street
12,12,"https://www.google.com/maps/@51.5141519,-0.1045384,3a,75y,266.27h,104.43t/data=!3m6!1e1!3m4!1sy3QFrQip7cZSRGAnOZarfg!2e0!7i16384!8i8192?entry=ttu",613,51.5141519,-0.1045384,panorama-y3QFrQip7cZSRGAnOZarfg,London,Fleet Street
13,13,"https://www.google.com/maps/@51.5141561,-0.1048418,3a,75y,260.76h,99.75t/data=!3m6!1e1!3m4!1sQfe-UgDDfQkn8qX5ZAHrbA!2e0!7i16384!8i8192?entry=ttu",613,51.5141561,-0.1048418,panorama-Qfe-UgDDfQkn8qX5ZAHrbA,London,Fleet Street
14,14,"https://www.google.com/maps/@51.514155,-0.1051157,3a,75y,82.62h,90.38t/data=!3m6!1e1!3m4!1s7-tSY5YfXRvB3WK5KoPkJA!2e0!7i16384!8i8192?entry=ttu",613,51.514155,-0.1051157,panorama-7-tSY5YfXRvB3WK5KoPkJA,London,Fleet Street
15,15,"https://www.google.com/maps/@51.514163,-0.1054605,3a,75y,288.18h,98.68t/data=!3m6!1e1!3m4!1sJOg9HXm2u2rKXKBZfhEffw!2e0!7i16384!8i8192?entry=ttu",613,51.514163,-0.1054605,panorama-JOg9HXm2u2rKXKBZfhEffw,London,Fleet Street
16,16,"https://www.google.com/maps/@51.5141657,-0.1059575,3a,75y,282.48h,101.88t/data=!3m6!1e1!3m4!1sXW6KWmeygTxHASn5v3SBHg!2e0!7i16384!8i8192?entry=ttu",613,51.5141657,-0.1059575,panorama-XW6KWmeygTxHASn5v3SBHg,London,Fleet Street
17,17,"https://www.google.com/maps/@51.5141838,-0.1038734,3a,75y,127.18h,94.7t/data=!3m9!1e1!3m7!1sFTdP7j9Xjwfz9YUeiNgLLg!2e0!7i16384!8i8192!9m2!1b1!2i35?entry=ttu",613,51.5141838,-0.1038734,panorama-FTdP7j9Xjwfz9YUeiNgLLg,London,Ludgate Hill
18,18,"https://www.google.com/maps/@51.5141711,-0.1035814,3a,75y,3.37h,97.34t/data=!3m9!1e1!3m7!1speVzwctfDLkxcIzh34nLag!2e0!7i16384!8i8192!9m2!1b1!2i35?entry=ttu",613,51.5141711,-0.1035814,panorama-peVzwctfDLkxcIzh34nLag,London,Ludgate Hill
19,19,"https://www.google.com/maps/@51.5141257,-0.1030683,3a,75y,99.52h,97.21t/data=!3m9!1e1!3m7!1sR8okFuHCkWxhnPEzdySbRw!2e0!7i16384!8i8192!9m2!1b1!2i35?entry=ttu",613,51.5141257,-0.1030683,panorama-R8okFuHCkWxhnPEzdySbRw,London,Ludgate Hill
20,20,"https://www.google.com/maps/@51.5143835,-0.1043074,3a,75y,330.6h,99.03t/data=!3m9!1e1!3m7!1sdXz5dJ5YSwlQy0_xaQH5Qw!2e0!7i16384!8i8192!9m2!1b1!2i35?entry=ttu",613,51.5143835,-0.1043074,panorama-dXz5dJ5YSwlQy0_xaQH5Qw,London,Farringdon Street
21,21,"https://www.google.com/maps/@51.5146428,-0.1043764,3a,75y,29.28h,97.29t/data=!3m9!1e1!3m7!1sMMXhOX5T1_A6jYKxISPkHA!2e0!7i16384!8i8192!9m2!1b1!2i35?entry=ttu",613,51.5146428,-0.1043764,panorama-MMXhOX5T1_A6jYKxISPkHA,London,Farringdon Street
21,21,"https://www.google.com/maps/@51.5148652,-0.1044084,3a,75y,187.24h,105.84t/data=!3m6!1e1!3m4!1sUm0S5PaGIrvYbi9GxewMdA!2e0!7i16384!8i8192?entry=ttu",613,51.5148652,-0.1044084,panorama-Um0S5PaGIrvYbi9GxewMdA,London,Farringdon Street
